target,num_pairs,coop_mean,safe_mean,legacy_mean,safe_delta_mean,safe_delta_std,legacy_delta_mean,legacy_delta_std
caltech101,9,68.63333333333334,71.4888888888889,71.11111111111111,2.8555555555555605,5.2328556045220465,2.477777777777779,5.959609420460746
food101,9,57.56666666666667,60.07777777777778,59.24444444444445,2.511111111111112,6.91582324174867,1.677777777777778,7.098200084841539
ucf101,12,45.75833333333333,47.225,46.1,1.4666666666666668,2.72574704800298,0.3416666666666668,2.786806035372372
oxford_flowers,12,41.53333333333333,43.0,43.03333333333333,1.4666666666666661,3.215115813927967,1.4999999999999993,4.49808039865088
sun397,9,40.922222222222224,42.077777777777776,42.044444444444444,1.1555555555555561,2.1506458978125105,1.1222222222222225,2.215162396855914
dtd,12,24.733333333333334,25.458333333333332,24.90833333333333,0.7250000000000002,3.263607875287159,0.17499999999999952,3.0493292854182035
fgvc_aircraft,12,8.183333333333334,8.325000000000001,7.8999999999999995,0.1416666666666667,1.9242275112760228,-0.28333333333333344,2.0457642863124565
stanford_cars,12,47.800000000000004,47.93333333333334,48.291666666666664,0.13333333333333344,3.395273006383846,0.49166666666666775,2.9666198498178598
eurosat,12,23.53333333333333,23.150000000000002,22.016666666666666,-0.38333333333333314,6.964302919281668,-1.5166666666666664,6.50088572053956
oxford_pets,9,62.07777777777778,60.800000000000004,59.022222222222226,-1.2777777777777795,9.080718278002267,-3.055555555555558,4.043547672252399
