source,seed,safe_max_effective,legacy_max_effective,legacy_over_safe,safe_csv,legacy_csv,status
caltech101,1,8.593555094e-07,0.01179732196,13728.104179185237,third_party/CoOp_clean/output/xd/train/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/analysis_stats.csv,ok
caltech101,2,7.633630048e-07,0.01314880233,17224.835690648866,third_party/CoOp_clean/output/xd/train/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/analysis_stats.csv,ok
caltech101,3,3.673847857e-07,0.01126723737,30668.764218234748,third_party/CoOp_clean/output/xd/train/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/analysis_stats.csv,ok
food101,1,8.791129744e-07,0.01644166745,18702.564890731523,third_party/CoOp_clean/output/xd/train/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/analysis_stats.csv,ok
food101,2,1.870656661e-06,0.01782405563,9528.234657701303,third_party/CoOp_clean/output/xd/train/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/analysis_stats.csv,ok
food101,3,3.682288536e-07,0.01195925102,32477.767299004514,third_party/CoOp_clean/output/xd/train/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/analysis_stats.csv,ok
sun397,1,9.742675502e-07,0.00943900086,9688.304673662115,third_party/CoOp_clean/output/xd/train/source_sun397/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_sun397/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/analysis_stats.csv,ok
sun397,2,1.331925205e-06,0.01092124917,8199.596440552381,third_party/CoOp_clean/output/xd/train/source_sun397/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_sun397/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/analysis_stats.csv,ok
sun397,3,5.380994139e-07,0.007281662896,13532.188863066145,third_party/CoOp_clean/output/xd/train/source_sun397/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_sun397/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/analysis_stats.csv,ok
oxford_pets,1,1.122525219e-07,0.006326362956,56358.31470793887,third_party/CoOp_clean/output/xd/train/source_oxford_pets/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_oxford_pets/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/analysis_stats.csv,ok
oxford_pets,2,3.558424737e-07,0.00666762609,18737.577953162705,third_party/CoOp_clean/output/xd/train/source_oxford_pets/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_oxford_pets/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/analysis_stats.csv,ok
oxford_pets,3,1.048708e-07,0.0063019339,60092.36031383378,third_party/CoOp_clean/output/xd/train/source_oxford_pets/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/analysis_stats.csv,third_party/CoOp_clean/output/xd/train/source_oxford_pets/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/analysis_stats.csv,ok
