dataset,method,setting_tag,shots,nctx,num_runs,seeds,acc_mean,acc_std,f1_mean,f1_std,best_acc,worst_acc
dtd,CoOp,baseline,14,16,3,"1,2,3",64.5667,0.2625,64.2333,0.2867,64.8,64.2
dtd,CoOpPriorRes,b_w0.2,16,16,3,"1,2,3",65.4333,0.5185,65.1333,0.5907,65.8,64.7
dtd,CoOpPriorRes,no_b,16,16,3,"1,2,3",64.6667,0.4028,64.2,0.432,65.0,64.1
eurosat,CoOp,baseline,16,14,3,"1,2,3",81.0333,0.9672,80.2667,1.0209,82.4,80.3
eurosat,CoOpPriorRes,b_w0.2,16,16,3,"1,2,3",77.8667,4.5682,77.1667,4.619,82.0,71.5
eurosat,CoOpPriorRes,no_b,16,16,3,"1,2,3",77.7333,4.6147,76.9667,4.619,81.9,71.3
food101,CoOp,baseline,16,2,3,"1,2,3",78.6667,0.0943,78.6,0.0816,78.8,78.6
food101,CoOpPriorRes,b_w0.2,16,16,3,"1,2,3",77.3,0.2449,77.2333,0.2867,77.6,77.0
food101,CoOpPriorRes,no_b,16,16,2,"2,3",77.3,0.3,77.25,0.25,77.6,77.0
oxford_flowers,CoOp,baseline,16,12,3,"1,2,3",93.6,0.1633,93.4,0.216,93.8,93.4
oxford_flowers,CoOpPriorRes,b_w0.2,16,16,3,"1,2,3",93.0667,0.411,92.6667,0.6128,93.6,92.6
oxford_flowers,CoOpPriorRes,no_b,16,16,3,"1,2,3",93.4667,0.2055,93.3,0.1414,93.7,93.2
oxford_pets,CoOpPriorRes,b_w0.2,16,16,3,"1,2,3",88.8667,0.33,88.7667,0.3682,89.3,88.5
oxford_pets,CoOpPriorRes,no_b,16,16,3,"1,2,3",88.9,0.0816,88.8,0.0816,89.0,88.8
